bookID,authorFirst,authorLast
87209794,Nancy,Springer
87209851,Nancy,Springer
87209903,Nancy,Springer
87209922,Nancy,Springer
87209962,Nancy,Springer
87210067,Ann,Marston
87210078,Ann,Marston
87210135,Ann,Marston
87210415,"Octavia E.",Butler
87210454,"Octavia E.",Butler
87210592,"Octavia E.",Butler
87210610,"Kim Stanley",Robinson
87210622,"Kim Stanley",Robinson
87210629,"Kim Stanley",Robinson
87210631,"Kim Stanley",Robinson
87210641,Greg,Bear
87210663,Greg,Bear
87210682,Greg,Bear
87210691,Greg,Bear
87210707,"Russ T.",Howard
87210717,Nigel,Findley
87210747,Elaine,Cunningham
87210752,"Roger E.",Moore
87210764,Nigel,Findley
87210771,David,Cook
87210777,Greg,Bear
87210783,Greg,Bear
87210798,"W. T.",Quick
87210801,"W. T.",Quick
87210806,"W. T.",Quick
87210823,Chris,Claremont
87210831,Chris,Claremont
87210855,Chris,Claremont
87210896,Greg,Bear
87210904,Greg,Bear
87210905,Greg,Bear
87210931,Jan,Siegel
87210940,Jan,Siegel
87210948,Jan,Siegel
87210959,David,Eddings
87210959,Leigh,Eddings
87210968,David,Eddings
87210978,David,Eddings
87210984,David,Eddings
87210988,David,Eddings
87210993,David,Eddings
87211025,"Mickey Zucker",Reichert
87211028,"Mickey Zucker",Reichert
87211032,"Mickey Zucker",Reichert
87211036,"Mickey Zucker",Reichert
87211038,"Mickey Zucker",Reichert
87211055,Jennifer,Roberson
87211067,Jennifer,Roberson
87211073,Jennifer,Roberson
87211079,Jennifer,Roberson
87211087,Jennifer,Roberson
87211089,Jennifer,Roberson
87211096,Dave,Wolverton
87211100,Dave,Wolverton
87211103,Dave,Wolverton
87211110,Jennifer,Fallon
87211113,Jennifer,Fallon
87211120,Phyllis,Eisenstein
87211125,Phyllis,Eisenstein
87211134,Crawford,Kilian
87211136,Crawford,Kilian
87211140,Crawford,Kilian
87211353,David,Eddings
87211353,Leigh,Eddings
87239188,Anne,McCaffrey
87239202,Anne,McCaffrey
87239202,Margaret,Ball
87239213,Anne,McCaffrey
87239213,"Elizabeth Ann",Scarborough
87239222,Anne,McCaffrey
87239222,"Elizabeth Ann",Scarborough
87239238,Anne,McCaffrey
87239238,"Elizabeth Ann",Scarborough
87239257,Anne,McCaffrey
87239257,"Elizabeth Ann",Scarborough
87239268,Anne,McCaffrey
87239268,"Elizabeth Ann",Scarborough
87239282,Anne,McCaffrey
87239282,"Elizabeth Ann",Scarborough
87239290,Anne,McCaffrey
87239290,"Elizabeth Ann",Scarborough
87239327,"Elizabeth Ann",Scarborough
87256606,Poul,Anderson
87257229,Poul,Anderson
87257304,Poul,Anderson
87257332,Poul,Anderson
87257347,Poul,Anderson
87257394,Frank,Frazetta
87257394,"James R.",Silke
87257416,Frank,Frazetta
87257416,"James R.",Silke
87257437,Frank,Frazetta
87257437,"James R.",Silke
87257452,Frank,Frazetta
87257452,"James R.",Silke
87257562,"Deborah Turner",Harris
87257562,Katherine,Kurtz
87257606,"Deborah Turner",Harris
87257606,Katherine,Kurtz
87257624,"Deborah Turner",Harris
87257624,Katherine,Kurtz
87257636,"Deborah Turner",Harris
87257636,Katherine,Kurtz
87257649,"Deborah Turner",Harris
87257649,Katherine,Kurtz
87257753,Dean,Ing
87257770,Dean,Ing
87257784,Dean,Ing
87257858,Piers,Anthony
87257872,Piers,Anthony
87257889,Piers,Anthony
87258095,Justin,Leiber
87258119,Justin,Leiber
87258190,Janet,Morris
87258215,Janet,Morris
87258247,Janet,Morris
87258279,Janet,Morris
87258308,"Alan Dean",Foster
87258365,"Alan Dean",Foster
87258391,"Alan Dean",Foster
87258413,"Alan Dean",Foster
87258431,"Alan Dean",Foster
87258448,"Alan Dean",Foster
87258470,"Alan Dean",Foster
87258481,"Alan Dean",Foster
87258506,"Alan Dean",Foster
87258553,"Alan Dean",Foster
87258566,"Alan Dean",Foster
87258574,"Alan Dean",Foster
87258578,"Alan Dean",Foster
87258599,"Alan Dean",Foster
87258612,"Alan Dean",Foster
87258624,"Alan Dean",Foster
87258627,"Alan Dean",Foster
87258637,"Alan Dean",Foster
87259007,Gregory,Benford
87259023,Gregory,Benford
87259059,Lin,Carter
87259191,Lin,Carter
87259246,Lin,Carter
87259304,Lin,Carter
87259354,Jane,Gaskell
87259378,Jane,Gaskell
87259424,Jane,Gaskell
87259647,Jane,Gaskell
87259742,Jane,Gaskell
87259762,Robert,Adams
87259779,Robert,Adams
87259795,Robert,Adams
87259803,Robert,Adams
87259809,Robert,Adams
87259812,Robert,Adams
87259816,Robert,Adams
87259821,Robert,Adams
87259829,Robert,Adams
87259833,Robert,Adams
87259843,Robert,Adams
87259851,Robert,Adams
87259864,Robert,Adams
87259868,Robert,Adams
87259875,Robert,Adams
87259888,Robert,Adams
87259895,Robert,Adams
87259904,Robert,Adams
87259908,Robert,Adams
87259910,Robert,Adams
87259943,"James P.",Hogan
87259964,"James P.",Hogan
87259989,"James P.",Hogan
87260036,"James P.",Hogan
87260094,"Richard A.",Lupoff
87260109,"Richard A.",Lupoff
87260152,Mercedes,Lackey
87260175,Mercedes,Lackey
87260201,Mercedes,Lackey
87260213,Mercedes,Lackey
87260233,Mercedes,Lackey
87260248,Mercedes,Lackey
87260273,Mercedes,Lackey
87260306,Mercedes,Lackey
87260318,Mercedes,Lackey
87260436,Mercedes,Lackey
87260462,Mercedes,Lackey
87260462,James,Mallory
87260476,Mercedes,Lackey
87260476,James,Mallory
87260548,Mercedes,Lackey
87260548,James,Mallory
87260565,Mercedes,Lackey
87260579,Mercedes,Lackey
87260589,Mercedes,Lackey
87260598,Mercedes,Lackey
87260608,Mercedes,Lackey
87260611,Mercedes,Lackey
87260616,Mercedes,Lackey
87260621,Mercedes,Lackey
87260622,Mercedes,Lackey
87260656,Anne,McCaffrey
87260684,Anne,McCaffrey
87260710,Anne,McCaffrey
87260726,Anne,McCaffrey
87260756,Anne,McCaffrey
87260772,Anne,McCaffrey
87260784,Anne,McCaffrey
87260799,Anne,McCaffrey
87260858,Tracy,Hickman
87260858,Margaret,Weis
87260881,Tracy,Hickman
87260881,Margaret,Weis
87260920,Tracy,Hickman
87260920,Margaret,Weis
87260987,Margaret,Weis
87260992,Margaret,Weis
87261001,"Richard A.",Knaak
87261016,Michael,Williams
87261030,Nancy,Berberick
87261035,Tracy,Hickman
87261035,Margaret,Weis
87261474,Richard,McEnroe
87261494,Richard,McEnroe
87261531,Brian,Jacques
87261552,Brian,Jacques
87261564,Brian,Jacques
87261625,"Kim Stanley",Robinson
87261692,Tony,Daniel
87261748,T.A.,Pratt
87261767,Marvin,Kaye
87261767,Parke,Godwin
87261785,Marvin,Kaye
87261785,Parke,Godwin
87261813,Ben,Bova
87261838,"S. L.",Viehl
87261872,"G. H.",Stine
87261889,Lyndon,Hardy
87261902,Jaan,Kangilaski
87261939,"T. H.",White
87280987,Ben,Bova
87281001,Ben,Bova
87281017,Ben,Bova
87281028,Ben,Bova
87281033,Ben,Bova
87281041,Ben,Bova
87281073,Ben,Bova
87281088,Ben,Bova
87281096,Ben,Bova
87281105,Ben,Bova
87281123,Ben,Bova
87281144,Ben,Bova
87281162,Ben,Bova
87281173,Ben,Bova
87281191,Ben,Bova
87281231,"S. L.",Viehl
87281237,"S. L.",Viehl
87281264,"S. L.",Viehl
87281270,"S. L.",Viehl
87281274,"S. L.",Viehl
87281299,"S. L.",Viehl
87281313,"S. L.",Viehl
87281318,"S. L.",Viehl
87281325,"S. L.",Viehl
87281337,"S. L.",Viehl
87281347,"S. L.",Viehl
87281376,Lyndon,Hardy
87281386,Lyndon,Hardy
87281432,David,Eddings
87281432,Leigh,Eddings
87281469,David,Eddings
87281469,Leigh,Eddings
87281520,Jean,Auel
87281542,Jean,Auel
87281550,Jean,Auel
87281563,Jean,Auel
87281569,Jean,Auel
87281632,Janet,Morris
87281659,Janet,Morris
87281669,Janet,Morris
87281725,Sara,Douglass
87281741,Sara,Douglass
87281746,Sara,Douglass
87281755,Sara,Douglass
87281774,Katharine,Kerr
87281798,Katharine,Kerr
87281806,Katharine,Kerr
87281815,Katharine,Kerr
87281820,Katharine,Kerr
87281830,Katharine,Kerr
87281838,Katharine,Kerr
87281850,Katharine,Kerr
87281877,Katharine,Kerr
87281884,Katharine,Kerr
87281896,Katharine,Kerr
87281900,Katharine,Kerr
87281908,Katharine,Kerr
87281911,Katharine,Kerr
87281915,Katharine,Kerr
87281937,Kevin,Anderson
87281937,Brian,Herbert
87281952,Kevin,Anderson
87281952,Brian,Herbert
87281968,Kevin,Anderson
87281968,Brian,Herbert
87281993,David,Feintuch
87282002,David,Feintuch
87282010,David,Feintuch
87282016,David,Feintuch
87282031,David,Feintuch
87282042,David,Feintuch
87282046,David,Feintuch
87282087,Kristen,Britain
87282100,Kristen,Britain
87282111,Kristen,Britain
87282120,Kristen,Britain
87282176,Alma,Alexander
87282187,Alma,Alexander
87282196,Elizabeth,Haydon
87282214,Elizabeth,Haydon
87282216,Elizabeth,Haydon
87282218,Elizabeth,Haydon
87282222,Elizabeth,Haydon
87282227,Elizabeth,Haydon
87282303,Tanith,Lee
87282320,"Philip Jose",Farmer
87282331,"Philip Jose",Farmer
87282332,"Philip Jose",Farmer
87282333,"Philip Jose",Farmer
87282335,"Philip Jose",Farmer
87282339,"Philip Jose",Farmer
87282347,"Philip Jose",Farmer
87282348,Trudi,Canavan
87282353,Trudi,Canavan
