bookID,bookTitle,bookPublisher,bookPublishedDate,bookPages,bookISBN
87209794,"The Golden Swan",473,1983,176,0671620630
87209851,"The Sable Moon",473,1981,261,0671831577
87209903,"The Black Beast",473,1982,192,0671441175
87209922,"The White Hart",473,1979,0,0671831488
87209962,"Silver Sun",473,1980,292,0671834967
87210067,"Cloudbearer's Shadow",561,1999,336,0061059773
87210078,"King of Shadows",561,1999,320,0061020419
87210135,"Sword and Shadow",561,2000,352,0061020427
87210415,Imago,602,1997,224,0446603635
87210454,"Adulthood Rites",418,1997,304,0446603783
87210592,Dawn,602,1997,256,0446603775
87210610,"Green Mars",560,1995,640,0553572393
87210622,"Red Mars",448,1993,536,0553371347
87210629,"Blue Mars",463,2002,0,140251512X
87210631,"The Martians",448,2000,434,0553574019
87210641,Heads,432,1992,160,0812519965
87210663,"Queen of Angels",545,1991,432,0446361305
87210682,Slant,432,1997,512,0812524829
87210691,"Moving Mars",432,1993,448,031285515X
87210707,"The Ultimate Helm",411,1993,30,1560766514
87210717,"The Broken Sphere",411,1993,30,1560765968
87210747,"The Radiant Dragon",411,1992,320,1560763469
87210752,"The Maelstrom's Eye",411,1992,313,1560763442
87210764,"Into the Void",411,1991,320,1560761547
87210771,"Beyond the Moons",411,1991,320,1560761539
87210777,"Darwin's Children",568,2004,512,0345448367
87210783,"Darwin's Radio",594,2000,544,0345435249
87210798,Singularities,461,1990,1,0451450329
87210801,"Dreams of Flesh and Sand",453,1988,301,0451152980
87210806,"Dreams of Gods and Men",499,1989,302,0451159349
87210823,Sundowner,606,1994,346,0441000703
87210831,Grounded!,606,1991,336,0441304168
87210855,"First Flight",606,1987,243,0441235840
87210896,Eternity,417,1991,0,0445205474
87210904,Legacy,432,1996,480,0812524810
87210905,Eon,432,1991,512,0812520475
87210931,"The Witch Queen",568,2003,352,0345442598
87210940,"The Dragon Charmer",568,2002,352,034544258X
87210948,"Prospero's Children",568,2001,352,0345441435
87210959,"Polgara the Sorceress (Malloreon)",568,1998,768,0345422554
87210968,"Enchanter's End Game",568,1984,384,0345300785
87210978,"Castle of Wizardry",568,1985,384,0345335708
87210984,"Magician's Gambit",568,1986,320,0345335457
87210988,"Queen of Sorcery",568,1982,327,0345300793
87210993,"Pawn of Prophecy",568,1982,258,0345309979
87211025,Godslayer,504,1987,224,0886773725
87211028,"Shadow Climber",504,1988,304,0886772842
87211032,"Dragonrank Master",504,1989,304,0886773660
87211036,"Shadow's Realm",504,1990,304,0886774195
87211038,"By Chaos Cursed",504,1991,320,0886774748
87211055,Sword-Born,504,1999,432,0886778271
87211067,Sword-Sworn,504,2003,432,0756400996
87211073,"Sword-Dancer (Tiger and Del)",504,1986,288,0886773768
87211079,Sword-Singer,504,1996,0,
87211087,Sword-Maker,504,1989,464,0886773792
87211089,Sword-Breaker,504,1991,460,0886774764
87211096,"Lords of the Seventh Swarm",432,1998,471,0812550323
87211100,"Beyond the Gate",432,1996,10,0812550315
87211103,"The Golden Queen",432,1995,10,0812552555
87211110,Wolfblade,432,2006,640,0765348691
87211113,Harshini,432,2006,512,0765348683
87211120,"Born to Exile",567,1980,0,0440108543
87211125,"In the Red Lord's Reach",461,1989,1,0451160738
87211134,"Fall of the Republic",568,1987,0,0345342739
87211136,"The Empire of Time",568,1978,182,0345279387
87211140,"Rogue Emperor",568,1988,296,0345350782
87211353,"Belgarath the Sorcerer",568,1996,736,0345403959
87239188,"Acorna's Quest",482,1999,416,0061057908
87239202,Acorna,538,1998,416,0061057894
87239213,"Acorna's People",539,2000,416,0061059838
87239222,"Acorna's World",539,2001,384,0061059846
87239238,"Acorna's Search",539,2002,336,0380818469
87239257,"Acorna's Rebels",539,2003,384,0380818477
87239268,"Acorna's Triumph",539,2004,352,0380818485
87239282,"Third Watch",538,2008,304,0060525436
87239290,"First Warning",538,2005,304,006052538X
87239327,"Second Wave",429,2007,416,0060525428
87256606,"The Boat of A Million Years",432,1991,544,0812502701
87257229,"Harvest of Stars",432,1994,544,0812519469
87257304,"The Stars Are Also Fire",432,1995,576,0812530225
87257332,"Harvest the Fire",432,1997,192,0812553756
87257347,"The Fleet of Stars",432,1998,416,0812545982
87257394,"Plague of Knives",432,1990,352,0812503325
87257416,"Tooth and Claw",432,1989,368,0812503309
87257437,"Lords of Destruction",432,1989,342,0812538218
87257452,"Prisoner of the Horned Helmet",432,1988,320,0812538234
87257562,"Death of an Adept",606,1997,448,0441004849
87257606,"Dagger Magic",606,1996,384,0441003044
87257624,"The Templar Treasure",606,1993,320,0441003451
87257636,"The Lodge of the Lynx",606,1992,432,0441003443
87257649,"The Adept",606,1991,321,0441003435
87257753,"Systemic Shock",606,1981,0,0441793819
87257770,"Single Combat",432,1993,384,0812511646
87257784,"Wild Country",432,1993,320,0812511719
87257858,"Vision of Tarot",590,1982,0,0425056015
87257872,"God of Tarot",590,1983,0,0425070387
87257889,"Faith Of Tarot",590,1980,0,0425044432
87258095,"The Sword and the Eye",433,1985,252,0812544293
87258119,"The Sword and the Tower",432,1986,216,0812544315
87258190,"Wind from the Abyss",594,1978,384,0553112503
87258215,"The Carnelian Throne",594,1979,244,0553119079
87258247,"High Couch of Silistra",594,1978,0,0553123513
87258279,"The Golden Sword",594,1977,384,0553112767
87258308,"Flinx's Folly",568,2004,288,0345450396
87258365,"With Friends Like These",568,1979,0,0345282426
87258391,"...Who Needs Enemies?",594,1992,0,
87258413,"Sliding Scales",568,2005,288,0345461584
87258431,"The Tar-Aiym Krang",568,1972,251,034530280X
87258448,"Orphan Star",594,1977,234,0345255070
87258470,"Flinx in Flux",568,1988,324,0345343638
87258481,"For Love of Mother-Not",568,1987,256,0345346890
87258506,Mid-Flinx,568,1996,352,0345406443
87258553,Bloodhype,568,1988,0,0345008952
87258566,"The End of the Matter",455,1991,208,0727842234
87258574,"Reunion: A Pip and Flinx novel",568,2002,342,0345418689
87258578,"Impossible Places",568,2002,288,0345450418
87258599,"Running from the Deity",568,2006,304,0345461614
87258612,"Trouble Magnet: A Pip & Flinx Adventure",568,2007,304,034548505X
87258624,"Patrimony: A Pip & Flinx Adventure",568,2008,272,0345485084
87258627,"Exceptions to Reality: Stories",568,2008,272,0345496043
87258637,"Flinx Transcendent: A Pip & Flinx Adventure",568,2009,397,0345496078
87259007,"Jupiter Project, The",448,1990,0,0553286315
87259023,"Against Infinity",473,1984,215,0671459015
87259059,"Down to a Sunless Sea",504,1984,174,0879979372
87259191,"Valley Where Time Stood Still",472,1976,0,0445003448
87259246,"The City Outside The World",590,1977,0,0425035492
87259304,"Man Who Loved Mars",557,1973,157,0449026906
87259354,"Some Summer Lands",473,1981,0,0671424238
87259378,"The Serpent",504,1985,1,0879979909
87259424,"The City",484,1968,0,
87259647,Atlan,473,1979,0,0671820516
87259742,"The Dragon",504,1985,1,0886770211
87259762,"Swords of the Horseclans",452,1981,180,0451099885
87259779,"The Coming of the Horseclans",461,1982,0,0451116526
87259795,"Revenge of the Horseclans",476,1977,0,
87259803,"A Cat of Silvery Hue",454,1979,166,0451133056
87259809,"The Savage Mountains",461,1980,0,0451115899
87259812,"The Patrimony",461,1980,184,0451133005
87259816,"Horseclans Odyssey",461,1981,1,0451156277
87259821,"Death of a Legend",503,1981,0,
87259829,"The Witch Goddess",461,1982,0,0451117921
87259833,"Bili the Axe",461,1983,1,0451129288
87259843,"Champion of the Last Battle",461,1983,0,0451133048
87259851,"A Woman of the Horseclans",551,1985,208,0708881351
87259864,"Horses of the North",454,1985,253,0451136268
87259868,"A Man Called Milo Morai",454,1986,0,
87259875,"The Memories of Milo Morai",454,1986,0,
87259888,"Trumpets of War",499,1987,223,0451147154
87259895,"Madman's Army",499,1987,222,0451149688
87259904,"Clan of the Cats",461,1988,221,0451152298
87259908,"Friends of the Horseclans",461,1987,284,0451147898
87259910,"Friends of the Horseclans II",461,1989,1,0451158466
87259943,"Inherit the Stars",568,1978,220,0345257049
87259964,"Gentle Giants of Ganymede",568,1978,256,0345273753
87259989,"Mission to Minerva",595,2006,0,
87260036,"Giant's Star",568,1981,0,0345287711
87260094,Countersolar!,606,1989,0,0441117910
87260109,Circumpolar!,590,1985,0,0425081931
87260152,"Winds of Change",504,1993,480,0886775639
87260175,"Winds of Fate",504,1992,464,0886775167
87260201,"Winds of Fury",504,1994,0,
87260213,Oathbreakers,504,1989,320,0886774543
87260233,"The Oathbound",504,1988,304,0886774144
87260248,Oathblood,504,1998,400,0886777739
87260273,"By the Sword",504,1991,496,0886774632
87260306,"Magic's Price",504,1990,352,0886774268
87260318,"Magic's Promise",504,1990,320,0886774012
87260436,"Magic's Pawn",504,1989,352,0886773520
